frame,pred_count,prey_count,total count
973,21,25,46
974,21,25,46
975,20,25,45
976,20,25,45
977,20,25,45
978,20,25,45
979,20,25,45
980,20,25,45
981,20,25,45
982,20,25,45
983,20,25,45
984,20,25,45
985,20,25,45
986,20,25,45
987,20,25,45
988,20,25,45
989,20,26,46
990,20,26,46
991,20,26,46
992,20,26,46
993,20,26,46
994,20,25,45
995,20,25,45
996,20,24,44
997,20,24,44
998,21,23,44
999,21,23,44
1000,21,23,44
1001,21,23,44
1002,21,23,44
1003,21,24,45
1004,21,23,44
1005,22,22,44
1006,22,22,44
1007,22,22,44
1008,22,22,44
1009,22,22,44
1010,22,22,44
1011,22,22,44
1012,22,22,44
1013,22,22,44
1014,22,22,44
1015,22,22,44
1016,22,22,44
1017,22,22,44
1018,22,22,44
1019,22,22,44
1020,22,22,44
1021,22,22,44
1022,22,22,44
1023,22,22,44
1024,22,22,44
1025,22,22,44
1026,21,22,43
1027,21,22,43
1028,21,22,43
1029,21,22,43
1030,21,22,43
1031,21,22,43
1032,21,22,43
1033,21,22,43
1034,21,22,43
1035,21,22,43
1036,21,22,43
1037,21,22,43
1038,21,22,43
1039,21,22,43
1040,21,22,43
1041,20,22,42
1042,20,22,42
1043,20,21,41
1044,20,21,41
1045,20,21,41
1046,20,22,42
1047,20,22,42
1048,20,22,42
1049,20,21,41
1050,20,21,41
1051,20,21,41
1052,20,21,41
1053,19,21,40
1054,19,21,40
1055,19,21,40
1056,19,21,40
1057,19,21,40
1058,19,21,40
1059,19,21,40
1060,19,21,40
1061,19,21,40
1062,19,21,40
1063,19,21,40
1064,19,21,40
1065,19,21,40
1066,19,21,40
1067,19,22,41
1068,19,22,41
1069,19,22,41
1070,19,22,41
1071,19,22,41
1072,19,22,41
1073,19,22,41
1074,19,23,42
1075,19,23,42
1076,19,23,42
1077,19,24,43
1078,19,24,43
1079,19,25,44
1080,19,25,44
1081,19,25,44
1082,19,25,44
1083,19,25,44
1084,19,25,44
1085,19,25,44
1086,19,25,44
1087,19,25,44
1088,19,25,44
1089,19,25,44
1090,19,25,44
1091,19,25,44
1092,19,25,44
1093,19,26,45
1094,19,26,45
1095,19,26,45
1096,19,26,45
1097,19,26,45
1098,19,26,45
1099,19,26,45
1100,19,25,44
1101,19,25,44
1102,19,25,44
1103,19,25,44
1104,19,25,44
1105,19,25,44
1106,18,25,43
1107,18,25,43
1108,18,25,43
1109,18,25,43
1110,18,25,43
1111,18,25,43
1112,18,25,43
1113,18,25,43
1114,18,25,43
1115,18,25,43
1116,18,25,43
1117,18,26,44
1118,18,26,44
1119,18,26,44
1120,18,26,44
1121,18,27,45
1122,18,27,45
1123,18,27,45
1124,18,27,45
1125,18,27,45
1126,18,27,45
1127,18,27,45
1128,18,27,45
1129,18,27,45
1130,18,27,45
1131,18,27,45
1132,18,27,45
1133,17,27,44
1134,17,27,44
1135,17,28,45
1136,16,28,44
1137,16,28,44
1138,16,28,44
1139,16,28,44
1140,16,28,44
1141,16,28,44
1142,16,28,44
1143,16,28,44
1144,16,28,44
1145,16,29,45
1146,16,29,45
1147,16,29,45
1148,16,29,45
1149,16,29,45
1150,16,29,45
1151,16,29,45
1152,16,29,45
1153,16,29,45
1154,16,29,45
1155,16,30,46
1156,16,30,46
1157,16,30,46
1158,15,29,44
1159,15,29,44
1160,15,30,45
1161,15,30,45
1162,15,30,45
1163,15,30,45
1164,15,30,45
1165,15,30,45
1166,15,30,45
1167,15,30,45
1168,15,30,45
1169,15,31,46
1170,15,31,46
1171,15,31,46
1172,15,32,47
1173,15,32,47
1174,15,32,47
1175,15,32,47
1176,15,32,47
1177,15,32,47
1178,15,32,47
1179,15,32,47
1180,15,32,47
1181,15,32,47
1182,15,32,47
1183,15,32,47
1184,15,32,47
1185,15,31,46
1186,15,31,46
1187,15,31,46
1188,15,31,46
1189,15,31,46
1190,15,31,46
1191,15,31,46
1192,15,31,46
1193,15,31,46
1194,15,32,47
1195,15,32,47
1196,15,32,47
1197,15,32,47
1198,15,32,47
1199,15,32,47
1200,15,32,47
1201,15,32,47
1202,15,32,47
1203,15,32,47
1204,15,32,47
1205,15,32,47
1206,15,32,47
1207,16,31,47
1208,15,31,46
1209,15,31,46
1210,15,31,46
1211,15,31,46
1212,15,31,46
1213,15,31,46
1214,15,31,46
1215,15,31,46
1216,15,31,46
1217,15,30,45
1218,15,30,45
1219,15,30,45
1220,15,30,45
1221,15,29,44
1222,15,29,44
1223,15,29,44
1224,15,29,44
1225,15,29,44
1226,15,29,44
1227,16,29,45
1228,16,30,46
1229,16,30,46
1230,16,30,46
1231,16,30,46
1232,16,30,46
1233,16,30,46
1234,16,30,46
1235,16,30,46
1236,16,30,46
1237,17,29,46
1238,17,29,46
1239,17,29,46
1240,17,29,46
1241,17,29,46
1242,17,28,45
1243,17,28,45
1244,17,28,45
1245,17,28,45
1246,18,27,45
1247,18,27,45
1248,18,27,45
1249,18,27,45
1250,18,27,45
1251,18,28,46
1252,18,28,46
1253,18,28,46
1254,18,28,46
1255,18,28,46
1256,18,28,46
1257,18,28,46
1258,18,28,46
1259,18,28,46
1260,18,28,46
1261,18,28,46
1262,18,28,46
1263,18,28,46
1264,18,28,46
1265,18,28,46
1266,18,28,46
1267,18,28,46
1268,18,28,46
1269,18,28,46
1270,18,28,46
1271,18,28,46
1272,18,28,46
1273,18,28,46
1274,18,28,46
1275,18,28,46
1276,18,28,46
1277,18,28,46
1278,18,28,46
1279,18,28,46
1280,18,29,47
1281,18,29,47
1282,18,28,46
1283,18,28,46
1284,18,28,46
1285,18,28,46
1286,19,27,46
1287,19,27,46
1288,19,27,46
1289,19,27,46
1290,19,27,46
1291,19,27,46
1292,19,28,47
1293,19,28,47
1294,19,28,47
1295,19,28,47
1296,19,28,47
1297,19,28,47
1298,19,28,47
1299,19,28,47
1300,19,28,47
1301,19,28,47
1302,18,28,46
1303,18,28,46
1304,18,28,46
1305,18,27,45
1306,18,27,45
1307,18,27,45
1308,18,27,45
1309,18,27,45
1310,19,26,45
1311,19,26,45
1312,19,26,45
1313,19,26,45
1314,19,27,46
1315,19,27,46
1316,18,27,45
1317,18,27,45
1318,18,27,45
1319,18,27,45
1320,18,27,45
1321,18,27,45
1322,17,27,44
1323,17,27,44
1324,18,26,44
1325,18,26,44
1326,18,26,44
1327,18,26,44
1328,18,26,44
1329,18,26,44
1330,18,26,44
1331,18,26,44
1332,18,26,44
1333,19,25,44
1334,19,25,44
1335,19,25,44
1336,19,25,44
1337,19,25,44
1338,19,24,43
1339,18,24,42
1340,18,24,42
1341,18,24,42
1342,17,24,41
1343,17,24,41
1344,17,24,41
1345,17,24,41
1346,17,24,41
1347,17,24,41
1348,17,24,41
1349,17,24,41
1350,17,24,41
1351,17,24,41
1352,17,24,41
1353,17,24,41
1354,17,24,41
1355,17,24,41
1356,16,24,40
1357,16,24,40
1358,16,24,40
1359,16,24,40
1360,16,24,40
1361,15,24,39
1362,15,24,39
1363,15,24,39
1364,15,24,39
1365,15,24,39
1366,15,24,39
1367,15,24,39
1368,15,24,39
1369,14,24,38
1370,14,24,38
1371,14,24,38
1372,14,24,38
1373,14,25,39
1374,14,25,39
1375,14,26,40
1376,14,26,40
1377,14,26,40
1378,14,26,40
1379,14,26,40
1380,14,26,40
1381,14,26,40
1382,14,26,40
1383,14,25,39
1384,14,25,39
1385,14,25,39
1386,14,25,39
1387,14,25,39
1388,14,25,39
1389,14,25,39
1390,14,25,39
1391,14,25,39
1392,14,25,39
1393,14,25,39
1394,14,25,39
1395,14,25,39
1396,14,25,39
1397,14,25,39
1398,14,25,39
1399,14,25,39
1400,14,24,38
1401,14,25,39
1402,14,24,38
1403,14,24,38
1404,14,24,38
1405,14,24,38
1406,14,24,38
1407,14,24,38
1408,14,24,38
1409,14,24,38
1410,14,24,38
1411,14,24,38
1412,14,24,38
1413,14,24,38
1414,14,24,38
1415,14,24,38
1416,14,24,38
1417,14,24,38
1418,14,24,38
1419,14,24,38
1420,14,24,38
1421,14,24,38
1422,14,24,38
1423,14,24,38
1424,14,24,38
1425,13,24,37
1426,13,24,37
1427,13,24,37
1428,13,24,37
1429,13,24,37
1430,13,23,36
1431,13,24,37
1432,12,24,36
1433,12,25,37
1434,12,25,37
1435,12,25,37
1436,12,26,38
1437,12,26,38
1438,12,26,38
1439,12,26,38
1440,12,26,38
1441,12,25,37
1442,12,26,38
1443,12,26,38
1444,12,26,38
1445,12,26,38
1446,12,26,38
1447,12,26,38
1448,12,26,38
1449,12,26,38
1450,12,26,38
1451,12,26,38
1452,12,26,38
1453,12,26,38
1454,12,26,38
1455,12,26,38
1456,12,26,38
1457,12,26,38
1458,12,26,38
1459,12,26,38
1460,12,26,38
1461,12,26,38
1462,12,26,38
1463,12,26,38
1464,12,26,38
1465,12,26,38
1466,12,26,38
1467,12,26,38
1468,12,26,38
1469,12,27,39
1470,12,27,39
1471,12,27,39
1472,12,27,39
1473,12,27,39
1474,12,27,39
1475,12,27,39
1476,12,27,39
1477,12,27,39
1478,12,28,40
1479,12,28,40
1480,12,28,40
1481,12,28,40
1482,12,28,40
1483,12,28,40
1484,12,28,40
1485,12,28,40
1486,12,28,40
1487,13,27,40
1488,13,27,40
1489,13,27,40
1490,13,27,40
1491,13,27,40
1492,13,27,40
1493,12,27,39
1494,12,27,39
1495,12,27,39
1496,12,27,39
1497,12,28,40
1498,12,28,40
1499,12,28,40
1500,12,28,40
1501,12,28,40
1502,12,28,40
1503,12,28,40
1504,12,28,40
1505,12,28,40
1506,12,28,40
1507,12,27,39
1508,12,27,39
1509,12,27,39
1510,12,28,40
1511,12,28,40
1512,12,28,40
1513,12,28,40
1514,12,28,40
1515,12,28,40
1516,12,28,40
1517,12,28,40
1518,12,27,39
1519,12,27,39
1520,12,27,39
1521,12,27,39
1522,12,28,40
1523,13,27,40
